orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10160,2018-10-11,2018-10-17,2018-10-17,Shipped,,347
10161,2018-10-17,2018-10-25,2018-10-20,Shipped,,227
10162,2018-10-18,2018-10-26,2018-10-19,Shipped,,321
10163,2018-10-20,2018-10-27,2018-10-24,Shipped,,424
10164,2018-10-21,2018-10-30,2018-10-23,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesnt like the colors and precision of the models.",452
10165,2018-10-22,2018-10-31,2018-12-26,Shipped,This order was on hold because customerss credit limit had been exceeded. Order will ship when payment is received,148
10166,2018-10-21,2018-10-30,2018-10-27,Shipped,,462
10167,2018-10-23,2018-10-30,,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didnt ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,2018-10-28,2018-11-03,2018-11-01,Shipped,,161
10169,2018-11-04,2018-11-14,2018-11-09,Shipped,,276
10170,2018-11-04,2018-11-12,2018-11-07,Shipped,,452
10171,2018-11-05,2018-11-13,2018-11-07,Shipped,,233
10172,2018-11-05,2018-11-14,2018-11-11,Shipped,,175
10173,2018-11-05,2018-11-15,2018-11-09,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,2018-11-06,2018-11-15,2018-11-10,Shipped,,333
10175,2018-11-06,2018-11-14,2018-11-09,Shipped,,324
10176,2018-11-06,2018-11-15,2018-11-12,Shipped,,386
10177,2018-11-07,2018-11-17,2018-11-12,Shipped,,344
10178,2018-11-08,2018-11-16,2018-11-10,Shipped,Custom shipping instructions sent to warehouse,242
10179,2018-11-11,2018-11-17,2018-11-13,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,496
10180,2018-11-11,2018-11-19,2018-11-14,Shipped,,171
10181,2018-11-12,2018-11-19,2018-11-15,Shipped,,167
10182,2018-11-12,2018-11-21,2018-11-18,Shipped,,124
10183,2018-11-13,2018-11-22,2018-11-15,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,339
10184,2018-11-14,2018-11-22,2018-11-20,Shipped,,484
10185,2018-11-14,2018-11-21,2018-11-20,Shipped,,320
10186,2018-11-14,2018-11-20,2018-11-18,Shipped,They want to reevaluate their terms agreement with the VP of Sales,489
10187,2018-11-15,2018-11-24,2018-11-16,Shipped,,211
10188,2018-11-18,2018-11-26,2018-11-24,Shipped,,167
10189,2018-11-18,2018-11-25,2018-11-24,Shipped,They want to reevaluate their terms agreement with Finance.,205
10190,2018-11-19,2018-11-29,2018-11-20,Shipped,,141
10191,2018-11-20,2018-11-30,2018-11-24,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,259
10192,2018-11-20,2018-11-29,2018-11-25,Shipped,,363
10193,2018-11-21,2018-11-28,2018-11-27,Shipped,,471
10194,2018-11-25,2018-12-02,2018-11-26,Shipped,,146
10195,2018-11-25,2018-12-01,2018-11-28,Shipped,,319
10196,2018-11-26,2018-12-03,2018-12-01,Shipped,,455
10197,2018-11-26,2018-12-02,2018-12-01,Shipped,Customer inquired about remote controlled models and gold models.,216
10198,2018-11-27,2018-12-06,2018-12-03,Shipped,,385
10199,2018-12-01,2018-12-10,2018-12-06,Shipped,,475
10200,2018-12-01,2018-12-09,2018-12-06,Shipped,,211
10201,2018-12-01,2018-12-11,2018-12-02,Shipped,,129
10202,2018-12-02,2018-12-09,2018-12-06,Shipped,,357
10203,2018-12-02,2018-12-11,2018-12-07,Shipped,,141
10204,2018-12-02,2018-12-10,2018-12-04,Shipped,,151
10205,2018-12-03,2018-12-09,2018-12-07,Shipped, I need all the information I can get on our competitors.,141
10206,2018-12-05,2018-12-13,2018-12-08,Shipped,Can we renegotiate this one?,202
10207,2018-12-09,2018-12-17,2018-12-11,Shipped,Check on availability.,495
10208,2019-01-02,2019-01-11,2019-01-04,Shipped,,146
10209,2019-01-09,2019-01-15,2019-01-12,Shipped,,347
10210,2019-01-12,2019-01-22,2019-01-20,Shipped,,177
10211,2019-01-15,2019-01-25,2019-01-18,Shipped,,406
10212,2019-01-16,2019-01-24,2019-01-18,Shipped,,141
10213,2019-01-22,2019-01-28,2019-01-27,Shipped,Difficult to negotiate with customer. We need more marketing materials,489
10214,2019-01-26,2019-02-04,2019-01-29,Shipped,,458
10215,2019-01-29,2019-02-08,2019-02-01,Shipped,Customer requested that FedEx Ground is used for this shipping,475
10216,2019-02-02,2019-02-10,2019-02-04,Shipped,,256
10217,2019-02-04,2019-02-14,2019-02-06,Shipped,,166
10218,2019-02-09,2019-02-16,2019-02-11,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
10219,2019-02-10,2019-02-17,2019-02-12,Shipped,,487
10220,2019-02-12,2019-02-19,2019-02-16,Shipped,,189
10221,2019-02-18,2019-02-26,2019-02-19,Shipped,,314
10222,2019-02-19,2019-02-27,2019-02-20,Shipped,,239
10223,2019-02-20,2019-02-29,2019-02-24,Shipped,,114
10224,2019-02-21,2019-03-02,2019-02-26,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171
10225,2019-02-22,2019-03-01,2019-02-24,Shipped,,298
10226,2019-02-26,2019-03-06,2019-03-02,Shipped,,239
10227,2019-03-02,2019-03-12,2019-03-08,Shipped,,146
10228,2019-03-10,2019-03-18,2019-03-13,Shipped,,173
10229,2019-03-11,2019-03-20,2019-03-12,Shipped,,124
10230,2019-03-15,2019-03-24,2019-03-20,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128
10231,2019-03-19,2019-03-26,2019-03-25,Shipped,,344
10232,2019-03-20,2019-03-30,2019-03-25,Shipped,,240
10233,2019-03-29,2019-04-04,2019-04-02,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,328
10234,2019-03-30,2019-04-05,2019-04-02,Shipped,,412
10235,2019-04-02,2019-04-12,2019-04-06,Shipped,,260
10236,2019-04-03,2019-04-11,2019-04-08,Shipped,,486
10237,2019-04-05,2019-04-12,2019-04-10,Shipped,,181
10238,2019-04-09,2019-04-16,2019-04-10,Shipped,,145
10239,2019-04-12,2019-04-21,2019-04-17,Shipped,,311
10240,2019-04-13,2019-04-20,2019-04-20,Shipped,,177
10241,2019-04-13,2019-04-20,2019-04-19,Shipped,,209
10242,2019-04-20,2019-04-28,2019-04-25,Shipped,Customer is interested in buying more Ferrari models,456
10243,2019-04-26,2019-05-03,2019-04-28,Shipped,,495
10244,2019-04-29,2019-05-09,2019-05-04,Shipped,,141
10245,2019-05-04,2019-05-12,2019-05-09,Shipped,,455
10246,2019-05-05,2019-05-13,2019-05-06,Shipped,,141
10247,2019-05-05,2019-05-11,2019-05-08,Shipped,,334
10248,2019-05-07,2019-05-14,,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131
10249,2019-05-08,2019-05-17,2019-05-11,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173
10250,2019-05-11,2019-05-19,2019-05-15,Shipped,,450
10251,2019-05-18,2019-05-24,2019-05-24,Shipped,,328
10252,2019-05-26,2019-06-04,2019-05-29,Shipped,,406
10253,2019-06-01,2019-06-09,2019-06-02,Cancelled,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",201
10254,2019-06-03,2019-06-13,2019-06-04,Shipped,Customer requested that DHL is used for this shipping,323
10255,2019-06-04,2019-06-12,2019-06-09,Shipped,,209
10256,2019-06-08,2019-06-16,2019-06-10,Shipped,,145
10257,2019-06-14,2019-06-24,2019-06-15,Shipped,,450
10258,2019-06-15,2019-06-25,2019-06-23,Shipped,,398
10259,2019-06-15,2019-06-22,2019-06-17,Shipped,,166
10260,2019-06-16,2019-06-22,,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357
10261,2019-06-17,2019-06-25,2019-06-22,Shipped,,233
10262,2019-06-24,2019-07-01,,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141
10263,2019-06-28,2019-07-04,2019-07-02,Shipped,,175
10264,2019-06-30,2019-07-06,2019-07-01,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362
10265,2019-07-02,2019-07-09,2019-07-07,Shipped,,471
10266,2019-07-06,2019-07-14,2019-07-10,Shipped,,386
10267,2019-07-07,2019-07-17,2019-07-09,Shipped,,151
10268,2019-07-12,2019-07-18,2019-07-14,Shipped,,412
10269,2019-07-16,2019-07-22,2019-07-18,Shipped,,382
10270,2019-07-19,2019-07-27,2019-07-24,Shipped,Can we renegotiate this one?,282
10271,2019-07-20,2019-07-29,2019-07-23,Shipped,,124
10272,2019-07-20,2019-07-26,2019-07-22,Shipped,,157
10273,2019-07-21,2019-07-28,2019-07-22,Shipped,,314
10274,2019-07-21,2019-07-29,2019-07-22,Shipped,,379
10275,2019-07-23,2019-08-02,2019-07-29,Shipped,,119
10276,2019-08-02,2019-08-11,2019-08-08,Shipped,,204
10277,2019-08-04,2019-08-12,2019-08-05,Shipped,,148
10278,2019-08-06,2019-08-16,2019-08-09,Shipped,,112
10279,2019-08-09,2019-08-19,2019-08-15,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
10280,2019-08-17,2019-08-27,2019-08-19,Shipped,,249
10281,2019-08-19,2019-08-28,2019-08-23,Shipped,,157
10282,2019-08-20,2019-08-26,2019-08-22,Shipped,,124
10283,2019-08-20,2019-08-30,2019-08-23,Shipped,,260
10284,2019-08-21,2019-08-29,2019-08-26,Shipped,Custom shipping instructions sent to warehouse,299
10285,2019-08-27,2019-09-04,2019-08-31,Shipped,,286
10286,2019-08-28,2019-09-06,2019-09-01,Shipped,,172
10287,2019-08-30,2019-09-06,2019-09-01,Shipped,,298
10288,2019-09-01,2019-09-11,2019-09-05,Shipped,,166
10289,2019-09-03,2019-09-13,2019-09-04,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167
10290,2019-09-07,2019-09-15,2019-09-13,Shipped,,198
10291,2019-09-08,2019-09-17,2019-09-14,Shipped,,448
10292,2019-09-08,2019-09-18,2019-09-11,Shipped,They want to reevaluate their terms agreement with Finance.,131
10293,2019-09-09,2019-09-18,2019-09-14,Shipped,,249
10294,2019-09-10,2019-09-17,2019-09-14,Shipped,,204
10295,2019-09-10,2019-09-17,2019-09-14,Shipped,They want to reevaluate their terms agreement with Finance.,362
10296,2019-09-15,2019-09-22,2019-09-16,Shipped,,415
10297,2019-09-16,2019-09-22,2019-09-21,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,189
10298,2019-09-27,2019-10-05,2019-10-01,Shipped,,103
10299,2019-09-30,2019-10-10,2019-10-01,Shipped,,186
10300,2018-10-04,2018-10-13,2018-10-09,Shipped,,128
10301,2018-10-05,2018-10-15,2018-10-08,Shipped,,299
10302,2018-10-06,2018-10-16,2018-10-07,Shipped,,201
10303,2019-10-06,2019-10-14,2019-10-09,Shipped,Customer inquired about remote controlled models and gold models.,484
10304,2019-10-11,2019-10-20,2019-10-17,Shipped,,256
10305,2019-10-13,2019-10-22,2019-10-15,Shipped,Check on availability.,286
10306,2019-10-14,2019-10-21,2019-10-17,Shipped,,187
10307,2019-10-14,2019-10-23,2019-10-20,Shipped,,339
10308,2019-10-15,2019-10-24,2019-10-20,Shipped,Customer requested that FedEx Ground is used for this shipping,319
10309,2019-10-15,2019-10-24,2019-10-18,Shipped,,121
10310,2019-10-16,2019-10-24,2019-10-18,Shipped,,259
10311,2019-10-16,2019-10-23,2019-10-20,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
10312,2019-10-21,2019-10-27,2019-10-23,Shipped,,124
10313,2019-10-22,2019-10-28,2019-10-25,Shipped,Customer requested that FedEx Ground is used for this shipping,202
10314,2019-10-22,2019-11-01,2019-10-23,Shipped,,227
10315,2019-10-29,2019-11-08,2019-10-30,Shipped,,119
10316,2019-11-01,2019-11-09,2019-11-07,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,2019-11-02,2019-11-12,2019-11-08,Shipped,,161
10318,2019-11-02,2019-11-09,2019-11-07,Shipped,,157
10319,2019-11-03,2019-11-11,2019-11-06,Shipped,Customer requested that DHL is used for this shipping,456
10320,2019-11-03,2019-11-13,2019-11-07,Shipped,,144
10321,2019-11-04,2019-11-12,2019-11-07,Shipped,,462
10322,2019-11-04,2019-11-12,2019-11-10,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
10323,2019-11-05,2019-11-12,2019-11-09,Shipped,,128
10324,2019-11-05,2019-11-11,2019-11-08,Shipped,,181
10325,2019-11-05,2019-11-13,2019-11-08,Shipped,,121
10326,2019-11-09,2019-11-16,2019-11-10,Shipped,,144
10327,2019-11-10,2019-11-19,2019-11-13,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models dont match what was discussed.,145
10328,2019-11-12,2019-11-21,2019-11-18,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
10329,2019-11-15,2019-11-24,2019-11-16,Shipped,,131
10330,2019-11-16,2019-11-25,2019-11-21,Shipped,,385
10331,2019-11-17,2019-11-23,2019-11-23,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
10332,2019-11-17,2019-11-25,2019-11-18,Shipped,,187
10333,2019-11-18,2019-11-27,2019-11-20,Shipped,,129
10334,2019-11-19,2019-11-28,,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
10335,2019-11-19,2019-11-29,2019-11-23,Shipped,,124
10336,2019-11-20,2019-11-26,2019-11-24,Shipped,Customer requested that DHL is used for this shipping,172
10337,2019-11-21,2019-11-30,2019-11-26,Shipped,,424
10338,2019-11-22,2019-12-02,2019-11-27,Shipped,,381
10339,2019-11-23,2019-11-30,2019-11-30,Shipped,,398
10340,2019-11-24,2019-12-01,2019-11-25,Shipped,Customer is interested in buying more Ferrari models,216
10341,2019-11-24,2019-12-01,2019-11-29,Shipped,,382
10342,2019-11-24,2019-12-01,2019-11-29,Shipped,,114
10343,2019-11-24,2019-12-01,2019-11-26,Shipped,,353
10344,2019-11-25,2019-12-02,2019-11-29,Shipped,,350
10345,2019-11-25,2019-12-01,2019-11-26,Shipped,,103
10346,2019-11-29,2019-12-05,2019-11-30,Shipped,,112
10347,2019-11-29,2019-12-07,2019-11-30,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,114
10348,2019-11-01,2019-11-08,2019-11-05,Shipped,,458
10349,2019-12-01,2019-12-07,2019-12-03,Shipped,,151
10350,2019-12-02,2019-12-08,2019-12-05,Shipped,,141
10351,2019-12-03,2019-12-11,2019-12-07,Shipped,,324
10352,2019-12-03,2019-12-12,2019-12-09,Shipped,,198
10353,2019-12-04,2019-12-11,2019-12-05,Shipped,,447
10354,2019-12-04,2019-12-10,2019-12-05,Shipped,,323
10355,2019-12-07,2019-12-14,2019-12-13,Shipped,,141
10356,2019-12-09,2019-12-15,2019-12-12,Shipped,,250
10357,2019-12-10,2019-12-16,2019-12-14,Shipped,,124
10358,2019-12-10,2019-12-16,2019-12-16,Shipped,Customer requested that DHL is used for this shipping,141
10359,2019-12-15,2019-12-23,2019-12-18,Shipped,,353
10360,2019-12-16,2019-12-22,2019-12-18,Shipped,,496
10361,2019-12-17,2019-12-24,2019-12-20,Shipped,,282
10362,2020-01-05,2020-01-16,2020-01-10,Shipped,,161
10363,2020-01-06,2020-01-12,2020-01-10,Shipped,,334
10364,2020-01-06,2020-01-17,2020-01-09,Shipped,,350
10365,2020-01-07,2020-01-18,2020-01-11,Shipped,,320
10366,2020-01-10,2020-01-19,2020-01-12,Shipped,,381
10367,2020-01-12,2020-01-21,2020-01-16,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedExs investigation proved this wrong.,205
10368,2020-01-19,2020-01-27,2020-01-24,Shipped,Can we renegotiate this one?,124
10369,2020-01-20,2020-01-28,2020-01-24,Shipped,,379
10370,2020-01-20,2020-02-01,2020-01-25,Shipped,,276
10371,2020-01-23,2020-02-03,2020-01-25,Shipped,,124
10372,2020-01-26,2020-02-05,2020-01-28,Shipped,,398
10373,2020-01-31,2020-02-08,2020-02-06,Shipped,,311
10374,2020-02-02,2020-02-09,2020-02-03,Shipped,,333
10375,2020-02-03,2020-02-10,2020-02-06,Shipped,,119
10376,2020-02-08,2020-02-18,2020-02-13,Shipped,,219
10377,2020-02-09,2020-02-21,2020-02-12,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,2020-02-10,2020-02-18,2020-02-11,Shipped,,141
10379,2020-02-10,2020-02-18,2020-02-11,Shipped,,141
10380,2020-02-16,2020-02-24,2020-02-18,Shipped,,141
10381,2020-02-17,2020-02-25,2020-02-18,Shipped,,321
10382,2020-02-17,2020-02-23,2020-02-18,Shipped,Custom shipping instructions sent to warehouse,124
