customerNumber,checkNumber,paymentDate,amount
151,IP568906,2018-06-18,58841.35
151,KI884577,2019-12-14,39964.63
157,HI618861,2019-11-19,35152.12
157,NN711988,2019-09-07,63357.13
161,BR352384,2019-11-14,2434.25
161,BR478494,2018-11-18,50743.65
161,KG644125,2020-02-02,12692.19
161,NI908214,2018-08-05,38675.13
166,BQ327613,2019-09-16,38785.48
166,DC979307,2019-07-07,44160.92
166,LA318629,2019-02-28,22474.17
167,ED743615,2019-09-19,12538.01
167,GN228846,2018-12-03,85024.46
171,GB878038,2019-03-15,18997.89
171,IL104425,2018-11-22,42783.81
172,AD832091,2019-09-09,1960.8
172,CE51751,2019-12-04,51209.58
172,EH208589,2018-04-20,33383.14
173,GP545698,2019-05-13,11843.45
173,IG462397,2019-03-29,20355.24
175,IO448913,2018-11-19,24879.08
175,PI15215,2019-07-10,42044.77
177,AU750837,2019-04-17,15183.63
177,CI381435,2019-01-19,47177.59
181,CM564612,2019-04-25,22602.36
181,GQ132144,2018-01-30,5494.78
181,OH367219,2019-11-16,44400.5
186,AK412714,2018-10-27,37602.48
186,KA602407,2019-10-21,34341.08
187,AM968797,2019-11-03,52825.29
187,BQ39062,2019-12-08,47159.11
187,KL124726,2018-03-27,48425.69
189,BO711618,2019-10-03,17359.53
189,NM916675,2019-03-01,32538.74
198,FI192930,2019-12-06,9658.74
198,HQ920205,2018-07-06,6036.96
198,IS946883,2019-09-21,5858.56
201,DP677013,2018-10-20,23908.24
201,OO846801,2019-06-15,37258.94
202,HI358554,2018-12-18,36527.61
202,IQ627690,2019-11-08,33594.58
204,GC697638,2019-08-13,51152.86
204,IS150005,2019-09-24,4424.4
205,GL756480,2018-12-04,3879.96
205,LL562733,2018-09-05,50342.74
205,NM739638,2020-02-06,39580.6
209,ED520529,2019-06-21,4632.31
209,PH785937,2019-05-04,36069.26
211,BJ535230,2018-12-09,45480.79
216,BG407567,2018-05-09,3101.4
216,ML780814,2019-12-06,24945.21
216,MM342086,2018-12-14,40473.86
219,BR941480,2018-10-18,4465.85
227,MQ413968,2018-10-31,36164.46
227,NU21326,2019-11-02,53745.34
233,II180006,2019-07-01,22997.45
233,JG981190,2018-11-18,16909.84
239,NQ865547,2019-03-15,80375.24
240,IF245157,2019-11-16,46788.14
240,JO719695,2019-03-28,24995.61
242,AF40894,2018-11-22,33818.34
242,KI744716,2018-07-21,14232.7
249,IJ399820,2019-09-19,33924.24
249,NE404084,2019-09-04,48298.99
250,HD284647,2019-12-30,26311.63
250,HN114306,2018-07-18,23419.47
256,EP227123,2019-02-10,5759.42
256,HE84936,2019-10-22,53116.99
259,EU280955,2019-11-06,61234.67
259,GB361972,2018-12-07,27988.47
260,IO164641,2019-08-30,37527.58
260,NH776924,2019-04-24,29284.42
276,EM979878,2020-02-09,27083.78
276,KM841847,2018-11-13,38547.19
276,LE432182,2018-09-28,41554.73
278,BJ483870,2019-12-05,37654.09
278,GP636783,2018-03-02,52151.81
278,NI983021,2018-11-24,37723.79
282,IA793562,2018-08-03,24013.52
282,JT819493,2019-08-02,35806.73
282,OD327378,2020-01-03,31835.36
286,DR578578,2019-10-28,47411.33
286,KH910279,2019-09-05,43134.04
298,AJ574927,2019-03-13,47375.92
298,LF501133,2019-09-18,61402.0
299,AD304085,2018-10-24,36798.88
299,NR157385,2019-09-05,32260.16
311,DG336041,2020-02-15,46770.52
311,FA728475,2018-10-06,32723.04
311,NQ966143,2019-04-25,16212.59
314,LQ244073,2019-08-09,45352.47
314,MD809704,2019-03-03,16901.38
319,HL685576,2019-11-06,42339.76
319,OM548174,2018-12-07,36092.4
320,GJ597719,2020-01-18,8307.28
320,HO576374,2018-08-20,41016.75
320,MU817160,2018-11-24,52548.49
321,DJ15149,2018-11-03,85559.12
323,ES347491,2019-06-24,37281.36
323,HG738664,2018-07-05,2880.0
323,PQ803830,2019-12-24,39440.59
324,DQ409197,2019-12-13,13671.82
324,FP443161,2018-07-07,29429.14
324,HB150714,2018-11-23,37455.77
328,EN930356,2019-04-16,7178.66
328,NR631421,2019-05-30,31102.85
333,HL209210,2018-11-15,23936.53
333,JK479662,2018-10-17,9821.32
334,CS435306,2020-01-27,45785.34
334,HH517378,2018-08-16,29716.86
334,LF737277,2019-05-22,28394.54
339,AP286625,2019-10-24,23333.06
339,DA98827,2018-11-28,34606.28
344,AF246722,2018-11-24,31428.21
344,NJ906924,2019-04-02,15322.93
347,DG700707,2019-01-18,21053.69
347,LG808674,2018-10-24,20452.5
350,BQ602907,2019-12-11,18888.31
350,CI471510,2018-05-25,50824.66
350,OB648482,2020-01-29,1834.56
353,CO351193,2020-01-10,49705.52
353,ED878227,2018-07-21,13920.26
353,GT878649,2018-05-21,16700.47
357,AG240323,2018-12-16,20220.04
357,NB291497,2019-05-15,36442.34
362,FP170292,2019-07-11,18473.71
362,OG208861,2019-09-21,15059.76
363,HL575273,2019-11-17,50799.69
363,IS232033,2018-01-16,10223.83
363,PN238558,2018-12-05,55425.77
379,CA762595,2020-02-12,28322.83
379,FR499138,2018-09-16,32680.31
379,GB890854,2019-08-02,12530.51
381,BC726082,2019-12-03,12081.52
381,CC475233,2018-04-19,1627.56
381,GB117430,2020-02-03,14379.9
381,MS154481,2018-08-22,1128.2
382,CC871084,2018-05-12,35826.33
382,CT821147,2019-08-01,6419.84
382,PH29054,2019-11-27,42813.83
385,BN347084,2018-12-02,20644.24
385,CP804873,2019-11-19,15822.84
385,EK785462,2018-03-09,51001.22
386,DO106109,2018-11-18,38524.29
386,HG438769,2019-07-18,51619.02
398,AJ478695,2020-02-14,33967.73
398,DO787644,2019-06-21,22037.91
398,KB54275,2019-11-29,48927.64
406,HJ217687,2019-01-28,49165.16
406,NA197101,2019-06-17,25080.96
412,GH197075,2019-07-25,35034.57
412,PJ434867,2019-04-14,31670.37
415,ER54537,2019-09-28,31310.09
424,KF480160,2019-12-07,25505.98
424,LM271923,2018-04-16,21665.98
424,OA595449,2018-10-31,22042.37
447,AO757239,2018-09-15,6631.36
447,ER615123,2018-06-25,17032.29
447,OU516561,2019-12-17,26304.13
448,KR822727,2019-09-30,48809.9
450,EF485824,2019-06-21,59551.38
452,ED473873,2018-11-15,27121.9
452,FN640986,2018-11-20,15130.97
455,HA777606,2018-12-05,38139.18
455,IR662429,2019-05-12,32239.47
456,GJ715659,2019-11-13,27550.51
456,MO743231,2019-04-30,1679.92
458,DD995006,2019-11-15,33145.56
458,NA377824,2019-02-06,22162.61
458,OO606861,2018-06-13,57131.92
462,GC60330,2018-11-08,9977.85
462,PE176846,2019-11-27,48355.87
471,AB661578,2019-07-28,9415.13
471,CO645196,2018-12-10,35505.63
473,LL427009,2019-02-17,7612.06
473,PC688499,2018-10-27,17746.26
475,JP113227,2018-12-09,7678.25
475,PB951268,2019-02-13,36070.47
484,GK294076,2019-10-26,3474.66
484,JH546765,2018-11-29,47513.19
486,BL66528,2019-04-14,5899.38
486,HS86661,2019-11-23,45994.07
486,JB117768,2018-03-20,25833.14
487,AH612904,2018-09-28,29997.09
487,PT550181,2019-02-29,12573.28
489,OC773849,2018-12-04,22275.73
489,PO860906,2019-01-31,7310.42
495,BH167026,2018-12-26,59265.14
495,FN155234,2019-05-14,6276.6
496,MB342426,2018-07-16,32077.44
496,MN89921,2019-12-31,52166.0
